[2017/8/26 - 0:00:51] The tax vault is at $10,155
[2017/8/26 - 1:00:24] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:32] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:33] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:35] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:35] The tax vault is at $10,255
[2017/8/26 - 1:00:36] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:36] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:42] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:48] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:48] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:49] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:49] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:50] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:50] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:51] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:00:53] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:01:02] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:01:14] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:01:16] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:01:18] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:01:19] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:01:19] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:17:21] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:19:42] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:40:16] Keith Lawrance has paid $0 in tax.
[2017/8/26 - 1:41:47] Keith Lawrance has paid $0 in tax.
[2017/8/26 - 1:41:55] Keith Lawrance has paid $0 in tax.
[2017/8/26 - 1:42:07] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:42:27] Keith Lawrance has paid $0 in tax.
[2017/8/26 - 1:42:35] Keith Lawrance has paid $0 in tax.
[2017/8/26 - 1:42:48] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:43:03] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:43:08] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:43:12] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:43:33] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:43:38] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:44:11] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:44:23] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:44:41] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:45:03] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:48:10] Ben Morales has paid $0 in tax.
[2017/8/26 - 1:49:02] Keith Lawrance has paid $0 in tax.
[2017/8/26 - 2:00:01] The tax vault is at $10,710
