[2018/1/16 - 5:47:03] {298EFF}Executive Administrator{FFFFFF} Captainthrillss is now on duty.
[2018/1/16 - 6:32:09] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 6:37:25] {00FF00}General Administrator{FFFFFF} Arturo Waters is now off duty.
[2018/1/16 - 6:37:27] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 6:50:32] {00FF00}General Administrator{FFFFFF} Kara Danvers is now on duty.
[2018/1/16 - 6:54:03] {00FF00}General Administrator{FFFFFF} Kara Danvers is now off duty.
[2018/1/16 - 6:54:20] {00FF00}General Administrator{FFFFFF} Kara Danvers is now on duty.
[2018/1/16 - 6:55:52] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 7:03:20] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 7:19:11] {00FF00}General Administrator{FFFFFF} Arturo Waters is now off duty.
[2018/1/16 - 7:25:05] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 7:25:23] {00FF00}General Administrator{FFFFFF} Arturo Waters is now off duty.
[2018/1/16 - 7:30:30] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 8:08:51] {00FF00}General Administrator{FFFFFF} Arturo Waters is now off duty.
[2018/1/16 - 8:08:59] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 8:31:13] {00FF00}General Administrator{FFFFFF} Arturo Waters is now off duty.
[2018/1/16 - 8:31:51] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 8:31:54] {00FF00}General Administrator{FFFFFF} Arturo Waters is now off duty.
[2018/1/16 - 8:40:51] {00FF00}General Administrator{FFFFFF} Arturo Waters is now on duty.
[2018/1/16 - 8:53:59] {298EFF}Executive Administrator{FFFFFF} John Jenkins is now on duty.
[2018/1/16 - 8:54:37] {FF0000}Head Administrator{FFFFFF} Lue Dockson is now on duty.
[2018/1/16 - 8:55:20] {00FF00}General Administrator{FFFFFF} Scott R. Mclaren is now on duty.
[2018/1/16 - 8:56:03] {00FF00}General Administrator{FFFFFF} Vincenzo Luciano is now on duty.
[2018/1/16 - 8:56:11] {00FF00}General Administrator{FFFFFF} Vincenzo Luciano is now off duty.
[2018/1/16 - 8:56:14] {00FF00}General Administrator{FFFFFF} Vincenzo Luciano is now on duty.
[2018/1/16 - 9:01:46] {00FF00}General Administrator{FFFFFF} Vincenzo Luciano is now off duty.
[2018/1/16 - 9:12:53] {00FF00}General Administrator{FFFFFF} Vincenzo Luciano is now on duty.
[2018/1/16 - 9:16:00] {00FF00}General Administrator{FFFFFF} Trent Wolf is now on duty.
