[2018/1/2 - 1:35:02] Liam Underwood has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/2 - 2:37:41] Liam Underwood has deleted vehicle Barracks (Veh id: 433 | Owner: SAAS)
[2018/1/2 - 2:37:55] Liam Underwood has deleted vehicle Barracks (Veh id: 433 | Owner: SAAS)
[2018/1/2 - 2:51:55] Liam Underwood has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:34:16] Captainthrillss has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:39:04] Captainthrillss has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:39:22] Captainthrillss has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:01] George Morgan has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:01] Captainthrillss has re-enabled vehicle Forklift (Veh id: 530 | Owner: N/A)
[2018/1/4 - 18:41:04] Captainthrillss has deleted vehicle Forklift (Veh id: 530 | Owner: N/A)
[2018/1/4 - 18:41:05] George Morgan has deleted vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:08] George Morgan has re-enabled vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:09] Captainthrillss has re-enabled vehicle Forklift (Veh id: 530 | Owner: N/A)
[2018/1/4 - 18:41:10] George Morgan has deleted vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:11] Captainthrillss has deleted vehicle Forklift (Veh id: 530 | Owner: N/A)
[2018/1/4 - 18:41:13] George Morgan has re-enabled vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:14] Captainthrillss has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:15] George Morgan has deleted vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:16] Captainthrillss has deleted vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:18] George Morgan has re-enabled vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:19] Captainthrillss has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:19] George Morgan has deleted vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:21] Captainthrillss has deleted vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:21] George Morgan has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:24] George Morgan has deleted vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:25] Captainthrillss has re-enabled vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:26] George Morgan has re-enabled vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:27] Captainthrillss has deleted vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:27] George Morgan has deleted vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:29] Captainthrillss has re-enabled vehicle Forklift (Veh id: 530 | Owner: N/A)
[2018/1/4 - 18:41:30] George Morgan has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:31] Captainthrillss has deleted vehicle Forklift (Veh id: 530 | Owner: N/A)
[2018/1/4 - 18:41:31] George Morgan has deleted vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:33] George Morgan has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:34] Captainthrillss has re-enabled vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:34] George Morgan has deleted vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:36] Captainthrillss has deleted vehicle Burrito (Veh id: 482 | Owner: N/A)
[2018/1/4 - 18:41:37] George Morgan has re-enabled vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:38] George Morgan has deleted vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:39] Captainthrillss has re-enabled vehicle Forklift (Veh id: 530 | Owner: N/A)
[2018/1/4 - 18:41:41] Captainthrillss has deleted vehicle Forklift (Veh id: 530 | Owner: N/A)
[2018/1/4 - 18:41:42] George Morgan has deleted vehicle Barracks (Veh id: 433 | Owner: N/A)
[2018/1/4 - 18:41:44] Captainthrillss has re-enabled vehicle Forklift (Veh id: 530 | Owner: N/A)
