[2018/1/1 - 17:39:11] can i update my name? nrn please | Dialog ID: 3750 | SQL ID: 1000082407
[2018/1/1 - 17:55:23] The selection is hand-picked I'm afraid | Dialog ID: 6081 | SQL ID: 1000624847
[2018/1/1 - 18:08:57] Fix Lottery prize in next update.. its only $800, even lotto ticket is more expensive | Dialog ID: 3750 | SQL ID: 1000624845
[2018/1/1 - 19:12:34] Use /help then select [Job] and it will list you a list of commands for your job. | Dialog ID: 6081 | SQL ID: 1000417757
[2018/1/1 - 19:16:53] Admins will update us about that. | Dialog ID: 6081 | SQL ID: 1000476623
[2018/1/1 - 19:32:34] Recruitment status will be updated by the Chief Advisor when it opens. | Dialog ID: 6081 | SQL ID: 1000332639
[2018/1/1 - 19:35:28] Factions will update their recruitment status in due time. | Dialog ID: 6081 | SQL ID: 1000332639
[2018/1/1 - 19:42:08] Make sure to keep checking the forums as they'll post updates there. | Dialog ID: 6081 | SQL ID: 1000190816
[2018/1/1 - 20:24:38] Any updates? | Dialog ID: 6080 | SQL ID: 1000625017
[2018/1/1 - 20:49:33] /skill > a list will pop up, then select the job ID | Dialog ID: 6081 | SQL ID: 70624
[2018/1/1 - 22:36:41] Press "Y" near the counter, and select "Withdraw" | Dialog ID: 6081 | SQL ID: 1000624847
[2018/1/1 - 23:21:27] Edit that on forums update that server is up guys... | Dialog ID: 3750 | SQL ID: 1000146262
[2018/1/2 - 0:31:36] Try to hit F in order to drop it, or relog if you can't get rid of it. | Dialog ID: 6081 | SQL ID: 1000618511
[2018/1/2 - 0:32:40] /droplicense | Dialog ID: 8004 | SQL ID: 88498
[2018/1/2 - 1:12:34] Use "Y" at the DMV menu screen, and select Driving Test | Dialog ID: 6081 | SQL ID: 1000624847
[2018/1/2 - 3:22:41] update | Dialog ID: 8003 | SQL ID: 1000146262
[2018/1/2 - 3:22:45] update | Dialog ID: 8003 | SQL ID: 1000146262
[2018/1/2 - 3:22:50] update | Dialog ID: 8003 | SQL ID: 1000146262
[2018/1/2 - 6:29:35] SELECT * FROM `shop_orders` WHERE `user_id` = 1000624858 AND `status` = 0Server Moderator | Dialog ID: 8007 | SQL ID: 880189
[2018/1/2 - 6:29:37] SELECT * FROM `shop_orders` WHERE `user_id` = 1000476623 AND `status` = 0Server Moderator | Dialog ID: 8007 | SQL ID: 880189
[2018/1/2 - 8:03:53] No, The server will be restarting for updates only. | Dialog ID: 6081 | SQL ID: 1000373547
[2018/1/2 - 8:06:42] Not too long just a quick update. | Dialog ID: 6081 | SQL ID: 1000373547
[2018/1/2 - 8:09:31] What is new in update | Dialog ID: 6080 | SQL ID: 1000602453
[2018/1/2 - 8:19:54] Accounts will reset after update?? | Dialog ID: 6080 | SQL ID: 1000624979
[2018/1/2 - 8:46:35] What are the updates? | Dialog ID: 6080 | SQL ID: 1000625088
[2018/1/2 - 8:48:49] Whats new in this update? | Dialog ID: 6080 | SQL ID: 1000602453
[2018/1/2 - 9:05:36] That Matt Honest did a shitty update that fucked my account, what should I do? | Dialog ID: 6080 | SQL ID: 1000245176
[2018/1/2 - 9:09:21] That shitty update fucked my main account, what should i do? | Dialog ID: 6080 | SQL ID: 1000245176
[2018/1/2 - 9:12:34] Matt did a shitty update which fucked my main account, I need it back now !! | Dialog ID: 3750 | SQL ID: 1000624855
[2018/1/2 - 9:13:54] Matt come and set my account password back man, you fucked my account with your update which didnt save accounts | Dialog ID: 3750 | SQL ID: 1000624855
[2018/1/2 - 9:35:33] Well Jerome, Matt just fixed my account as it got bugged after update, I just need my old name back via /nrn so i wont wait 3m | Dialog ID: 3750 | SQL ID: 1000306450
[2018/1/2 - 9:41:33] I need my old name back which I changed it yesterday but it came to this one due to the update Matt done and fixed but not name | Dialog ID: 3750 | SQL ID: 1000306450
[2018/1/2 - 9:43:25] What is the Server update on the bottom right corner? | Dialog ID: 6080 | SQL ID: 90107
[2018/1/2 - 9:43:57] The server will be restarting after that time in order for updates to take place. | Dialog ID: 6081 | SQL ID: 1000373547
[2018/1/2 - 9:45:13] Matt has fixed my account after the update but he forgot to change my name back, please /nrn me | Dialog ID: 3750 | SQL ID: 1000306450
[2018/1/2 - 10:01:13] Will the server be updated (restarted) in 9 mins? | Dialog ID: 6080 | SQL ID: 1000426218
[2018/1/2 - 10:01:18] What kind of update will happen? | Dialog ID: 6080 | SQL ID: 1000625149
[2018/1/2 - 10:08:47] what is this "Server Update: X:X"? | Dialog ID: 6080 | SQL ID: 1000625113
[2018/1/2 - 10:27:08] what are the updates ? | Dialog ID: 3750 | SQL ID: 1000625071
[2018/1/2 - 10:38:20] What do these Updates Contain ? | Dialog ID: 6080 | SQL ID: 1000625071
[2018/1/2 - 10:41:59] Where can i see the updates? | Dialog ID: 6080 | SQL ID: 90107
[2018/1/2 - 11:47:56] Use the command [/map > Jobs > and select the job you want to find] for it. | Dialog ID: 6081 | SQL ID: 1000194875
[2018/1/2 - 13:44:15] I belive you cannot drop your condoms. | Dialog ID: 6081 | SQL ID: 1000332639
[2018/1/2 - 13:57:19] For a new license, press Y at the DMV menu and select Driving Test | Dialog ID: 6081 | SQL ID: 1000624847
[2018/1/2 - 17:27:51] /droplicense | Dialog ID: 8004 | SQL ID: 1000481813
[2018/1/2 - 18:39:41] Don't drop the soap | Dialog ID: 9206 | SQL ID: 1000625256
[2018/1/2 - 18:50:52] The admins will update some new radio streams soon, please be paitient | Dialog ID: 6081 | SQL ID: 1000624847
[2018/1/2 - 20:07:29] SELECT * FROM `shop_orders` WHERE `user_id` = 1000153917 AND `status` = 0/bstore | Dialog ID: 8032 | SQL ID: 1000624932
[2018/1/2 - 20:08:42] SELECT * FROM `shop_orders` WHERE `user_id` = 1000215713 AND `status` = 0Server Moderator | Dialog ID: 8007 | SQL ID: 1000021909
[2018/1/2 - 20:11:56] Use [/map] and select Door Address, then type it in. | Dialog ID: 6081 | SQL ID: 1000417757
[2018/1/2 - 20:26:17] Use /deletecar >> select the vehicle. | Dialog ID: 6081 | SQL ID: 1000417757
[2018/1/2 - 22:19:27] hello nrn pls want to update my name | Dialog ID: 3750 | SQL ID: 1000060261
[2018/1/2 - 22:21:42] nrn me pls want to update my ngg name | Dialog ID: 3750 | SQL ID: 1000060261
[2018/1/2 - 22:58:22] Fix sprunk machine next update ot?t/fish | Dialog ID: 6080 | SQL ID: 1000624905
[2018/1/3 - 0:45:31] can i get nrn to update my last name | Dialog ID: 3750 | SQL ID: 1000040947
[2018/1/3 - 5:04:27] /droplicense | Dialog ID: 8012 | SQL ID: 46992
[2018/1/3 - 7:06:52] /droplicense | Dialog ID: 8004 | SQL ID: 1000038284
[2018/1/3 - 7:07:09] /droplicense | Dialog ID: 8004 | SQL ID: 1000038284
